front,back
英文を書く時の第一歩,「何がどうした」という主語と動詞（S+V）を決定すること
【フレーズ】手紙の返事を出す,"- answer the letter（answerは他動詞）
- reply to your letter（replyは自動詞）"
謝罪の内容・理由を表す前置詞句は何か,"- for + 名詞
- apologize、praise、scoldなどの動詞は賞罰動詞と呼ばれ、その多くはforで理由を示す"
「早く」という意味のearlyとsoonの使い分け,"- early: （ある期間の中で）早い時期に
- soon: （基準となる時点の後）すぐに"
【フレーズ】〜するように言われた,"- I was told to..
- I was asked to..
- I was said to.. にはならない。sayは他動詞でも人を目的語に取らないため。
- tellやaskは人を目的語にとる"
「教える」という意味のteach、tell、showの使い分け,"- teach：（知識や技術など込み入った内容）を教える
- tell：（言葉で）教える
- show：（視覚的に）教える"
【フレーズ】うっかり,"- by mistake（前置詞句）
- carelessly（副詞）
- unintentionally（副詞）"
他動詞構文について,"日本人はbe動詞を使いすぎる傾向にあるが、英語ではより具体的で因果関係が明らかな他動詞構文（SVO）が好まれる

```
国際連合の本部はニューヨークにある
・be動詞を使った例：The United Nations' headquarters is in New York.
・他動詞構文を使った例：The United Nations has its headquarters in New York.
```"
【フレーズ】〜しようとする、〜するのをやめる,"- try to V（〜しようとする）
- try to V+ing（試しに〜してみる）
- try not to V（〜するのをやめる）
- try to stop V+ing（〜するのをやめる）
"
「最近」という意味のrecently、lately、nowadays、these daysの使い分け,"- recently, lately: ちょっと前から今にかけて（の過去）は... / 過去形や現在完了形の動詞とともに使う
- nowadays, these days: （過去との対比で）今は... / 現在形、現在進行形の動詞とともに使う"
【フレーズ】大金を稼ぐ,make a lot of money
「〜できた」の表現,"- can: 継続的能力を表す
- be able to: 一時的能力を表す
- managed to: （苦労して）やり遂げた
- succeeded in V+ing: 成功した
- successfully V+ed: 首尾よく成功した"
「（SがVする）中で〜」の表現,"- while S + V
- when S + V"
「SがVするのは驚きだ」の表現,"- It is surprising that S + V.
- I was surprised to know that S + V.
- Surprisingly, S + V …（文修飾の副詞）"
「多い・少ない」を表す形容詞の使い方,"- manyやfewといった「多い・少ない」を表す形容詞は限定用法が一般的で、叙述用法ではあまり使われない
- 限定用法：名詞の前において意味を限定する
- 叙述用法：名詞の後ろで補語としてはたらく"
