front,back
残念だけど...,"I'm afraid..

```
I'm afraid it will rain tonight.
残念だけど今夜は雨のようだ
```"
...するのはどう？,"How about if..?

```
How about if we go to the outlet mall?
アウトレットモールに行くのはどう？
```"
ファイルの名称をbefore.txtからafter.txtに変更しました,I changed file name from 'before.txt' to 'after.txt'.
新機能を実装しました,I implemented new feature.
はじめまして。,Nice to meet you.
すいません、降ります。,"Excuse me, I'm getting off."
渋谷駅を探しています。どこにあるか知っていますか？,I'm looking for Shibuya station. Do you know where it is?
最寄りのローソンへはどう行けばよいでしょうか？,How do I get to the nearest Lawson?
どういたしまして。,"You are welcome.
No problem.
Don't mention it."
お腹が空きました。食事に行きませんか。,I'm hungry. Why don't we get something to eat?
いただきます,Let's eat!
マイクと呼んでください,Please call me Mike.
私に電話してください,Please give me a call.
プログラミングをしたことはありますか？,Have you ever tried programming?
彼女に会うのを楽しみにしています。,I'm looking forward to seeing her.
気にしないでください,"Forget it.

```
Sorry I didn't come to your party.
パーティにいけなくてごめんなさい

It's OK. Forget it.
いいんですよ。気にしないでください
```"
お腹空いてないのですか？,"Aren't you hungry?

```
Aren't you cold?
寒くないのですか？

No, not really.
いや、それほどでもないよ
```"
今何をしているのですか？,What are you doing now?
あなたは本を何冊持っていますか？,How many books do you have?
彼女はいくらお金が必要なのですか？,How much money does she need?
次の駅,"the next stop, the next station"
次の次の駅,the station after next
次の次の次の駅（3つ目の駅）,the third station
次の次の次の次の駅（4つ目の駅）,the forth station
聞き取れませんでした。もう一度言ってもらえますか。,Sorry? Can you say that again?
すいませんが、もう少しゆっくり話してもらえませんか。,"Excuse me, but could you speak more slowly?"
私は英語があまり得意ではないので簡単な英語でゆっくりと話してください,"I am not very good at English, so please speak slowly with easy words."
~をお願いします、~をください,"~, please.

```
The wine list, please.
ワインリストをお願いします
```"
~してもいいですか,"Can I ~?

```
Can I taste it?
試食してもいいですか？
```"
~はありますか？、〜を持っていますか？,"Do you have ~?

```
Do you have a charger for an iPhone?
iPhone用の充電器はありますか？
```"
~はどこですか？,"Where's ~?

```
Where's the nearest ATM?
一番近くのATMはどこですか？
```"
〜したいのですが,"I'd like to ~.

```
I'd like to send this to Japan.
これを日本に送りたいのですが
```"
〜は何ですか？、何が〜ですか？,"What's ~?

```
What's the password for the WiFi?
WiFiのパスワードは何ですか？
```"
〜したいのですが,"I'd like to ~.

```
I'd like to send this to Japan.
これを日本に送りたいのですが
```"
〜は何ですか？、何が〜ですか？,"What's ~?

```
What's the password for the WiFi?
WiFiのパスワードは何ですか？
```"
〜はありますか？,"Is there ~?

```
Is there a Japanese restaurant around here?
この近くに和食レストランはありますか？
```"
〜をお願いします,"I'd like ~.

```
Beef of Fish?
ビーフとお魚のどちらにしますか？

I'd like fish.
お魚をお願いします
```"
どこで〜できますか？,"Where can I ~?

```
Where can I buy tickets?
どこでチケットを買えますか？

There's a box office in the lobby.
ロビーにチケット売り場があります
```"
これは〜ですか？,"Is this ~?

```
Is this wool?
これはウールですか？
```"
ここは私の席だと思いますが,I think this is my seat.
ちょっと待ってください,"Just a second.
Just a moment.
Just a minute."
（これから）〜します,"I'll ~

```
I'll move my bags.
荷物を移動させます
```"
お手伝いします,Let me help you.
"お願いがあるのですが。
（人に頼み事をする際の表現）","May I ask you a favor?
Could I ask you a favor?"
席を替えていただけますか？,Could you change seats with me? (I'd like to sit next to my friend.)
〜をどうぞ / これは〜です,"Here is ~ / Here are ~

```
Here's a wet towel for you.
おしぼりをどうぞ
```"
えーと,Let's see.
ビーフとチキンのどちらにしますか,"Beef or Chicken?

```
Beef or Chicken?
Let's see. Beef please.
```"
〜をいただけますか？,"Can(Could) I have ~ ?

```
Can I have some water?
お水をいただけますか？
```"
〜ドルです,"It's ~ dollars.

```
It's two dollars a(per) bottle
1本、2ドルです
```"
〜しなければいけませんか？,"Do I have to ~?

```
Do I have to pay for water?
お水が有料なんですか？（お水の代金を支払わなければいけませんか？）
```"
